borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,no_of_school,no_of_hospital,no_of_restaurant,no_of_bank,no_of_bar,no_of_busstation,no_of_cafe,criminal_rate,population_2020
Brooklyn,Manhattan Terrace,40.6144325134,-73.9574384056,2546,3150,4057,8,0,8,2,19,11,14, 1541,51973
Manhattan,Manhattan Valley,40.7973070417,-73.9642861774,3726,4140,4554,5,1,5,2,34,10,11, 4422,25875
Manhattan,Manhattanville,40.8169344295,-73.9573853935,2293,2532,3635,4,0,4,1,19,6,8, 4934,22183
Staten Island,Manor Heights,40.6018095763,-74.1205939972,1080,1200,1450,1,0,2,0,0,0,3, 375,8205
Brooklyn,Mapleton,40.619768,-73.980701,1431,1590,1750,4,0,5,2,5,0,5, 1390,19568
Manhattan,Marble Hill,40.8765507788,-73.9106596586,1260,1400,1825,8,2,8,1,19,15,6, 3070,11403
Brooklyn,Marine Park,40.6097477799,-73.9313440411,1485,1650,2100,3,0,8,1,18,10,2, 893,15651
Staten Island,Mariner's Harbor,40.6325463905,-74.1500853705,1080,1200,1450,3,0,5,1,4,0,0, 1099,11164
Queens,Maspeth,40.7254273741,-73.8962171363,2100,1750,2000,2,0,8,1,14,5,3, 842,43257
Bronx,Melrose,40.8197543706,-73.9094216076,1440,1600,2095,8,1,8,2,14,10,2, 8129,42651
Queens,Middle Village,40.7164145112,-73.881143192,1620,1800,2100,3,0,5,1,8,4,1, 619,34474
Staten Island,Midland Beach,40.5735269057,-74.093482663,1300,1490,1700,1,0,4,1,1,0,2, 282,14541
Manhattan,Midtown,40.7546911027,-73.9816688273,2200,3208,4600,5,3,4,5,30,45,38, 12139,19568
Manhattan,Midtown South,40.7485096643,-73.9887131329,1085,2500,2888,2,2,2,3,7,2,8, 12027,16607
Brooklyn,Midwood,40.6255958987,-73.9575952349,1500,1688,2000,4,0,4,2,1,2,5, 1340,52891
Brooklyn,Mill Basin,40.6159742396,-73.9151539155,1580,1755,1950,1,0,1,0,1,0,0, 1077,15651
Brooklyn,Mill Island,40.6063364217,-73.9081857178,1485,1650,2049,1,0,3,0,1,0,0, 129,48356
Manhattan,Morningside Heights,40.8079997382,-73.9638962791,1863,2343,2543,3,1,2,1,14,4,10, 3414,38865
Bronx,Morris Heights,40.8478979261,-73.9196715912,1600,1625,1900,5,2,5,1,27,7,7, 5332,27341
Bronx,Morris Park,40.8475490635,-73.8504017803,2300,1500,2050,2,1,1,1,6,2,0, 1405,25077
Bronx,Morrisania,40.8235919859,-73.9015064894,1521,1691,1879,3,1,3,1,0,3,2, 7406,37607
Bronx,Mott Haven,40.8062387494,-73.9160998749,1250,2100,2295,5,2,5,1,11,2,8, 4338,28859
Bronx,Mount Eden,40.8438261767,-73.9165555196,1313,1685,2000,1,0,1,0,0,0,0, 6942,49651
Bronx,Mount Hope,40.8488416072,-73.9082993088,2400,1575,1825,2,1,2,0,7,2,1, 7340,49099
Manhattan,Murray Hill,40.7483030773,-73.9783320792,2275,3350,4678,3,4,3,3,33,20,24, 8577,31760
Queens,Murray Hill,40.7641261226,-73.8127626914,3505,4492,5898,5,1,5,2,42,5,21, 1061,57387
Queens,Neponsit,40.5720367302,-73.8575467241,1530,1700,1870,2,0,2,0,5,0,0, 93,21202
Staten Island,New Brighton,40.6406145591,-74.0870165052,1440,1600,1800,1,0,2,0,1,0,2, 2052,10274
Staten Island,New Dorp,40.5725723182,-74.1164794361,1395,1550,1500,3,1,8,2,9,1,2, 786,14541
Staten Island,New Dorp Beach,40.5642554931,-74.1043270747,1350,1500,1750,1,0,3,0,3,0,2, 531,14541
Brooklyn,New Lots,40.6627442797,-73.8851177638,1850,1750,1995,4,0,4,1,0,0,1, 4182,40016
Staten Island,New Springville,40.5942523792,-74.1649603133,1300,1450,1850,2,0,3,1,3,0,0, 381,10717
Manhattan,Noho,40.7232590189,-73.9884336802,2487,3200,7248,0,0,0,0,1,0,0, 9915,5532
Manhattan,NoLiTa,40.722386,-73.995149,2970,3025,3500,1,0,0,0,0,0,0, 9255,4843
Manhattan,NoMad,40.744109,-73.986659,1600,1975,2300,0,0,0,1,0,0,0, 10476,20015
Queens,North Corona,40.754070999,-73.8575179068,1200,4750,7150,2,0,3,1,13,2,1, 2820,43434
Bronx,North Riverdale,40.9085428295,-73.9045305491,1525,1975,2500,4,0,8,1,11,3,3, 334,23963
Brooklyn,North Side,40.7148229065,-73.9588085759,3244,3605,3965,3,0,3,1,19,4,27, 3122,61391
Bronx,Norwood,40.877224156,-73.8793907396,1700,1635,1895,8,3,8,2,15,12,9, 3401,43466
Queens,Oakland Gardens,40.7456185714,-73.7549497623,1440,1600,2000,3,0,8,1,2,2,1, 520,25249
Staten Island,Oakwood,40.5584622433,-74.1215659377,1255,1395,1725,1,0,2,0,1,1,1, 327,11194
Brooklyn,Ocean Hill,40.6784025548,-73.9130683179,2050,1800,2100,5,0,5,1,13,5,7, 4995,32625
Brooklyn,Ocean Parkway,40.6130597667,-73.9683667804,1620,1800,2200,4,0,3,1,9,2,8, 1347,44840
Staten Island,Old Town,40.5963289138,-74.0875111801,1350,1500,1750,1,0,3,1,4,1,2, 657,8589
Bronx,Olinville,40.8713707819,-73.8633236165,1001,1090,1250,3,0,4,1,9,3,1, 3329,30673
Queens,Ozone Park,40.6807084683,-73.8432026617,2100,1600,2100,4,0,5,1,28,4,7, 1960,23518
Brooklyn,Paerdegat Basin,40.6313175504,-73.902334743,1485,1650,2049,1,0,3,0,0,0,0, 1092,22191
Staten Island,Park Hill,40.6091904443,-74.0801573494,1350,1500,1750,1,0,3,0,2,0,0, 1173,8503
Brooklyn,Park Slope,40.6723205227,-73.9770503018,2500,2475,2700,4,1,4,1,18,2,10, 1956,57405
Manhattan,Park/Fifth Ave. to 79th St.,40.773673,-73.955823,1150,1600,1889,0,0,1,0,0,0,0, 4340,8239
Bronx,Parkchester,40.8379378223,-73.8560031054,3431,3628,9738,8,0,5,2,23,5,8, 3166,33602
Bronx,Pelham Bay,40.8506414094,-73.8320737824,1700,1650,1950,1,0,1,1,0,2,1, 922,9820
Bronx,Pelham Gardens,40.8629656248,-73.8416119483,1215,1350,1485,1,0,2,0,0,0,0, 1314,29402
Bronx,Pelham Parkway,40.8574134981,-73.8547556402,1916,1899,2150,5,2,5,1,3,6,6, 1642,32425
Staten Island,Pleasant Plains,40.5246993761,-74.2198310662,1350,1500,1750,1,0,3,1,2,0,1, 133,6704
Queens,Pomonok,40.7349361808,-73.8048612004,1530,1700,2100,4,0,3,1,3,8,1, 1396,17834
Staten Island,Port Ivory,40.6396829785,-74.1746453299,1350,1500,1750,1,0,1,0,0,0,0, 355,3918
Bronx,Port Morris,40.8016636278,-73.9132213939,1548,1720,1892,1,0,4,0,0,1,0, 1791,28859
Staten Island,Port Richmond,40.6336693055,-74.129434268,1350,1500,1750,3,0,8,1,20,2,5, 1411,22609
Staten Island,Prince's Bay,40.5262640673,-74.2015255646,1250,1400,1650,1,0,2,1,0,0,0, 138,10133
Brooklyn,Prospect Heights,40.6768222623,-73.9648592426,1850,2375,2700,8,2,8,2,49,4,32, 2625,23515
Brooklyn,Prospect Lefferts Gardens,40.6584200175,-73.9548986708,1594,1675,2328,5,4,8,1,40,6,27, 4351,24756
Brooklyn,Prospect Park South,40.6470086032,-73.9626131672,1699,2300,4650,5,0,2,1,5,0,0, 3886,18518
