neighborhood,id,borough,type,lat,long,studio_2020,br_1_2020,br_2_2020,br_3_2020,studio_2021,br_1_2021,br_2_2021
Allerton,nyu_2451_34572.299,Bronx,Point,40.865788,-73.859319,,,,,1450,1625,1800
Annadale,nyu_2451_34572.216,Staten Island,Point,40.538114,-74.178549,,,,,,1450,
Arden Heights,nyu_2451_34572.242,Staten Island,Point,40.549286,-74.185887,,,,,,,2250
Arlington,nyu_2451_34572.228,Staten Island,Point,40.635325,-74.165104,,,,,,,
Arrochar,nyu_2451_34572.229,Staten Island,Point,40.596313,-74.067124,,,,,,,
Arverne,nyu_2451_34572.178,Queens,Point,40.589144,-73.791992,,,,,,,
Astoria,nyu_2451_34572.130,Queens,Point,40.768509,-73.915654,,,,,1575,1875,2200
Astoria Heights,nyu_2451_34572.267,Queens,Point,40.770317,-73.89468,,,,,,,
Auburndale,nyu_2451_34572.153,Queens,Point,40.76173,-73.791762,,,,,1795,1780,2175
Bath Beach,nyu_2451_34572.80,Brooklyn,Point,40.599519,-73.998752,,,,,3000,1575,1825
Battery Park City,nyu_2451_34572.128,Manhattan,Point,40.711932,-74.016869,2823,3573,6859,10574,2200,2733,4431
Bay Ridge,nyu_2451_34572.47,Brooklyn,Point,40.625801,-74.030621,,,,,2038,1750,2109
Bay Terrace,nyu_2451_34572.176,Queens,Point,40.782843,-73.776802,,,,,,,
Bay Terrace,nyu_2451_34572.236,Staten Island,Point,40.553988,-74.139166,,,,,,,
Baychester,nyu_2451_34572.11,Bronx,Point,40.866858,-73.835798,,,,,,,
Bayside,nyu_2451_34572.152,Queens,Point,40.766041,-73.774274,,,,,1850,1850,2300
Bayswater,nyu_2451_34572.304,Queens,Point,40.611322,-73.765968,,,,,,,
Bedford Park,nyu_2451_34572.14,Bronx,Point,40.870185,-73.885512,,,,,1413,1525,2100
Bedford Stuyvesant,nyu_2451_34572.64,Brooklyn,Point,40.687232,-73.941785,2044,2297,2611,3214,1650,1975,2200
Beechhurst,nyu_2451_34572.175,Queens,Point,40.792781,-73.804365,,,,,,,
Beekman/Sutton Place,MJB.1,Manhattan,Point,40.753385,-73.964809,2676,3622,5217,6497,,,
Bellaire,nyu_2451_34572.195,Queens,Point,40.733014,-73.738892,,,,,,,
Belle Harbor,nyu_2451_34572.191,Queens,Point,40.576156,-73.854018,,,,,,,
Bellerose,nyu_2451_34572.157,Queens,Point,40.728573,-73.720128,,,,,,1750,2200
Belmont,nyu_2451_34572.35,Bronx,Point,40.857277,-73.888452,,,,,,1650,1856
Bensonhurst,nyu_2451_34572.48,Brooklyn,Point,40.611009,-73.99518,,,,,4200,1500,1795
Bergen Beach,nyu_2451_34572.92,Brooklyn,Point,40.61515,-73.898556,,,,,,1500,1900
Blissville,nyu_2451_34572.279,Queens,Point,40.737251,-73.932442,,,,,,1600,2000
Bloomfield,nyu_2451_34572.246,Staten Island,Point,40.605779,-74.187256,,,,,,,
Boerum Hill,nyu_2451_34572.88,Brooklyn,Point,40.685683,-73.983748,2092,2854,4356,4921,2446,2300,2750
Borough Park,nyu_2451_34572.81,Brooklyn,Point,40.633131,-73.990498,,,,,1599,1700,1873
Breezy Point,nyu_2451_34572.173,Queens,Point,40.557401,-73.925512,,,,,,,
Broadway Corridor,MJB.2,Manhattan,Point,40.812433,-73.960534,2328,3851,4616,6197,,,
Bowery,MJB.3,Manhattan,Point,40.721704,-73.991557,,,,,2500,2999,2850
Briarwood,nyu_2451_34572.160,Queens,Point,40.710935,-73.811748,,,,,1438,1700,2050
Brighton Beach,nyu_2451_34572.52,Brooklyn,Point,40.576825,-73.965094,,,,,1750,1850,2050
Broad Channel,nyu_2451_34572.172,Queens,Point,40.603027,-73.820055,,,,,,,
Broadway Junction,nyu_2451_34572.283,Brooklyn,Point,40.677861,-73.903317,,,,,,,
Bronxdale,nyu_2451_34572.298,Bronx,Point,40.852723,-73.861726,,,,,,,
Brooklyn Heights,nyu_2451_34572.65,Brooklyn,Point,40.695864,-73.993782,2509,3270,5983,8654,1850,2600,3450
Brooklyn Navy Yard,MJB.4,Brooklyn,Point,40.702087,-73.972412,,,,,3000,3395,5345
Brookville,nyu_2451_34572.194,Queens,Point,40.660003,-73.751753,,,,,,,2250
Brownsville,nyu_2451_34572.61,Brooklyn,Point,40.66395,-73.910235,,,,,1895,1650,1888
Bulls Head,nyu_2451_34572.247,Staten Island,Point,40.609592,-74.159409,,,,,,1100,1475
Bushwick,nyu_2451_34572.63,Brooklyn,Point,40.698116,-73.925258,2050,2373,2749,2851,1731,2150,2100
Butler Manor,nyu_2451_34572.239,Staten Island,Point,40.506082,-74.229504,,,,,,,
Cambria Heights,nyu_2451_34572.169,Queens,Point,40.692775,-73.735269,,,,,,,
Canarsie,nyu_2451_34572.75,Brooklyn,Point,40.635564,-73.902093,,,,,2000,1500,1950
Carnegie Hill,nyu_2451_34572.248,Manhattan,Point,40.782683,-73.953256,2307,3266,5547,11529,,,
Carroll Gardens,nyu_2451_34572.67,Brooklyn,Point,40.68054,-73.994654,2271,2634,3914,5027,2175,2400,3000
Castle Hill,nyu_2451_34572.41,Bronx,Point,40.819014,-73.848027,,,,,,,2300
Castleton Corners,nyu_2451_34572.209,Staten Island,Point,40.613336,-74.119181,,,,,,,1400
Central Harlem,nyu_2451_34572.106,Manhattan,Point,40.815976,-73.943211,1899,2389,3079,4148,2300,2647,2400
Central Park,MJB.5,Manhattan,Point,40.765215,-73.979667,2362,3563,7266,14463,2400,3623,3325
Charleston,nyu_2451_34572.240,Staten Island,Point,40.530531,-74.232158,,,,,,,3325
Chelsea,nyu_2451_34572.117,Manhattan,Point,40.744035,-74.003116,2794,4062,6997,11031,2323,3125,4959
Chelsea,nyu_2451_34572.245,Staten Island,Point,40.594726,-74.18956,,,,,,,
Chinatown,nyu_2451_34572.101,Manhattan,Point,40.715618,-73.994279,,,,,3000,2850,2200
City Island,nyu_2451_34572.13,Bronx,Point,40.847247,-73.786488,,,,,,1600,2350
City Line,nyu_2451_34572.91,Brooklyn,Point,40.67857,-73.867976,,,,,,,
Civic Center,nyu_2451_34572.250,Manhattan,Point,40.715229,-74.005415,,,,,2288,3000,3690
Claremont Village,nyu_2451_34572.268,Bronx,Point,40.831428,-73.901199,,,,,,,
Clason Point,nyu_2451_34572.28,Bronx,Point,40.806551,-73.854144,,,,,1700,1700,2100
Clearview,MJB.6,Queens,Point,40.779985,-73.796978,,,,,1900,1500,2300
Clifton,nyu_2451_34572.254,Staten Island,Point,40.619178,-74.072642,,,,,,,
Clinton,nyu_2451_34572.114,Manhattan,Point,40.759101,-73.996119,,,,,,,
Clinton Hill,nyu_2451_34572.85,Brooklyn,Point,40.693229,-73.967843,2409,2776,3450,4204,1800,2300,2950
Cobble Hill,nyu_2451_34572.66,Brooklyn,Point,40.68792,-73.998561,2100,2734,4222,6122,1457,2400,2700
College Point,nyu_2451_34572.150,Queens,Point,40.784903,-73.843045,,,,,,1680,1900
Concord,nyu_2451_34572.255,Staten Island,Point,40.604473,-74.084024,,,,,,1300,1900
Concourse,nyu_2451_34572.44,Bronx,Point,40.834284,-73.915589,,,,,1750,1650,2000
Concourse Village,nyu_2451_34572.269,Bronx,Point,40.82478,-73.915847,,,,,2250,1700,2195
Coney Island,nyu_2451_34572.79,Brooklyn,Point,40.574293,-73.988683,,,,,1500,2250,2400
Co-op City,nyu_2451_34572.2,Bronx,Point,40.874294,-73.829939,,,,,,,1575
Corona,nyu_2451_34572.135,Queens,Point,40.742382,-73.856825,,,,,1759,1600,1950
Crotona Park East,MJB.7,Bronx,Point,40.83656,-73.893348,,,,,,,2000
Country Club,nyu_2451_34572.30,Bronx,Point,40.844246,-73.824099,,,,,,1750,
Crown Heights,nyu_2451_34572.56,Brooklyn,Point,40.670829,-73.943291,1806,2310,2582,3185,1945,1850,2200
Cypress Hills,nyu_2451_34572.72,Brooklyn,Point,40.682391,-73.876616,,,,,,1900,1993
Ditmas Park,nyu_2451_34572.222,Brooklyn,Point,40.643675,-73.961013,,,,,,,
Dongan Hills,nyu_2451_34572.232,Staten Island,Point,40.588673,-74.096399,,,,,,1300,1800
Douglaston,nyu_2451_34572.155,Queens,Point,40.766846,-73.742498,,,,,2310,2058,2645
Downtown,nyu_2451_34572.87,Brooklyn,Point,40.690844,-73.983463,2443,3218,4548,6048,2546,3150,4057
Dumbo,nyu_2451_34572.284,Brooklyn,Point,40.703176,-73.988753,3189,4132,6086,9144,2300,3386,5895
Dyker Heights,nyu_2451_34572.82,Brooklyn,Point,40.619219,-74.019314,,,,,2700,1550,1900
East Elmhurst,nyu_2451_34572.142,Queens,Point,40.764073,-73.867041,,,,,,1700,2000
East Flatbush,nyu_2451_34572.57,Brooklyn,Point,40.641718,-73.936103,,,,,1600,1725,1950
East Harlem,nyu_2451_34572.107,Manhattan,Point,40.792249,-73.944182,2010,2367,3268,3880,1575,2000,2300
East New York,nyu_2451_34572.73,Brooklyn,Point,40.669926,-73.880699,,,,,1850,1750,1995
East Tremont,nyu_2451_34572.18,Bronx,Point,40.842696,-73.887356,,,,,,,1800
East Village,nyu_2451_34572.119,Manhattan,Point,40.727847,-73.982226,2608,3280,4044,5289,1563,2425,2933
East Williamsburg,nyu_2451_34572.96,Brooklyn,Point,40.708492,-73.938858,,,,,,,
Eastchester,nyu_2451_34572.3,Bronx,Point,40.887556,-73.827806,,,,,,,
Edenwald,nyu_2451_34572.46,Bronx,Point,40.884561,-73.848083,,,,,,,
Edgemere,nyu_2451_34572.177,Queens,Point,40.595642,-73.776133,,,,,,,
Edgewater Park,nyu_2451_34572.40,Bronx,Point,40.821986,-73.813885,,,,,,,
Egbertville,nyu_2451_34572.288,Staten Island,Point,40.579119,-74.127272,,,,,,,
Elm Park,nyu_2451_34572.259,Staten Island,Point,40.630147,-74.141817,,,,,,,
Elmhurst,nyu_2451_34572.133,Queens,Point,40.744049,-73.881656,,,,,1823,1800,2236
Eltingville,nyu_2451_34572.215,Staten Island,Point,40.542231,-74.164331,,,,,,1300,1800
Emerson Hill,nyu_2451_34572.256,Staten Island,Point,40.606794,-74.097762,,,,,,,
Erasmus,nyu_2451_34572.301,Brooklyn,Point,40.646926,-73.948177,,,,,,,
Far Rockaway,nyu_2451_34572.171,Queens,Point,40.603134,-73.75498,,,,,2195,1775,2160
Fieldston,nyu_2451_34572.4,Bronx,Point,40.895437,-73.905643,,,,,,,
Financial District,nyu_2451_34572.129,Manhattan,Point,40.707107,-74.010665,2955,3965,6065,10653,1618,3027,3650
Flatbush,nyu_2451_34572.55,Brooklyn,Point,40.636326,-73.958401,,,,,4098,1800,2117
Flatiron,nyu_2451_34572.277,Manhattan,Point,40.739673,-73.990947,3632,4645,8267,15969,2200,5483,9295
Flatlands,nyu_2451_34572.76,Brooklyn,Point,40.630446,-73.929113,,,,,1600,1600,2000
Floral Park,nyu_2451_34572.182,Queens,Point,40.741378,-73.708847,,,,,,,2300
Flushing,nyu_2451_34572.139,Queens,Point,40.764454,-73.831773,,,,,1650,1750,2150
Fordham,nyu_2451_34572.17,Bronx,Point,40.860997,-73.896427,,,,,1575,1650,2025
Forest Hills,nyu_2451_34572.136,Queens,Point,40.725264,-73.844475,,,,,1450,1900,2300
Forest Hills Gardens,nyu_2451_34572.197,Queens,Point,40.714611,-73.841022,,,,,2200,1700,2000
Fort Greene,nyu_2451_34572.70,Brooklyn,Point,40.688527,-73.972906,2957,2508,4213,6760,947,2500,3000
Fort Hamilton,nyu_2451_34572.100,Brooklyn,Point,40.614768,-74.031979,,,,,,3350,5595
Foxhurst,MJB.8,Bronx,Point,40.825558,-73.892691,,,,,2923,1550,1750
Fox Hills,nyu_2451_34572.306,Staten Island,Point,40.617311,-74.08174,,,,,,,
Fresh Meadows,nyu_2451_34572.159,Queens,Point,40.734394,-73.782713,,,,,,1750,2200
Fulton Ferry,nyu_2451_34572.280,Brooklyn,Point,40.703281,-73.995508,,,,,,,
Garment District,MJB.9,Manhattan,Point,40.753735,-73.990759,,,,,1400,3175,4000
Georgetown,nyu_2451_34572.95,Brooklyn,Point,40.623845,-73.916075,,,,,,,
Gerritsen Beach,nyu_2451_34572.83,Brooklyn,Point,40.590848,-73.930102,,,,,,,2600
Glen Oaks,nyu_2451_34572.156,Queens,Point,40.749441,-73.715481,,,,,,1738,2000
Glendale,nyu_2451_34572.145,Queens,Point,40.702762,-73.870742,,,,,2000,1675,2000
Gowanus,nyu_2451_34572.69,Brooklyn,Point,40.673931,-73.994441,2293,2796,3588,3687,2400,2000,2350
Gramercy Park,nyu_2451_34572.127,Manhattan,Point,40.73721,-73.981376,2569,3656,5413,7226,5800,3398,3630
Graniteville,nyu_2451_34572.227,Staten Island,Point,40.620172,-74.153152,,,,,,,1850
Grant City,nyu_2451_34572.234,Staten Island,Point,40.576216,-74.105856,,,,,,,1900
Grasmere,nyu_2451_34572.230,Staten Island,Point,40.598268,-74.076674,,,,,,,
Gravesend,nyu_2451_34572.51,Brooklyn,Point,40.59526,-73.973471,,,,,2350,1600,1838
Great Kills,nyu_2451_34572.214,Staten Island,Point,40.54948,-74.149324,,,,,,1400,1750
